Longitude,Latitude
"[74.78257348916821,","22.678975482930554],"
"[74.78576515586822,","22.676306038430553],"
"[74.78579716396253,","22.676275857953463],"
"[74.78709438616252,","22.67489808015346],"
"[74.78711138691902,","22.674878714612813],"
"[74.79344859440067,","22.66713170613023],"
"[74.7968227060302,","22.6652032527577],"
"[74.79912722452546,","22.66393441198022],"
"[74.81822917306765,","22.660595239646764],"
"[74.82471395480964,","22.659505839761454],"
"[74.82814198313139,","22.661791191911583],"
"[74.82814552859257,","22.66179352628627],"
"[74.86164275079258,","22.683574081886263],"
"[74.861651163993,","22.683579392757775],"
"[74.86803761773108,","22.687491789856406],"
"[74.87064631698568,","22.689145816143835],"
"[74.87064913915349,","22.68914758775213],"
"[74.88403885407024,","22.697469129594577],"
